k,mu,seed,accuracy
6.0,0.3,45,0.8293999999999999
6.0,0.3,46,0.8234
6.0,0.3,47,0.8234
6.0,0.3,48,0.8262
6.0,0.3,49,0.8266
6.0,0.3,50,0.8224
6.0,0.3,51,0.829
6.0,0.35,42,0.8173999999999999
6.0,0.35,43,0.8141999999999999
6.0,0.35,44,0.8301999999999999
6.0,0.35,45,0.8211999999999999
6.0,0.35,46,0.8236000000000001
6.0,0.35,47,0.8138
6.0,0.35,48,0.8168
6.0,0.35,49,0.8149999999999998
6.0,0.35,50,0.8118000000000001
6.0,0.35,51,0.8228000000000002
6.0,0.4,42,0.829
6.0,0.4,43,0.841
6.0,0.4,44,0.8338000000000001
6.0,0.4,45,0.8164
6.0,0.4,46,0.8168000000000001
6.0,0.4,47,0.8148000000000002
6.0,0.4,48,0.8314
6.0,0.4,49,0.8315999999999999
6.0,0.4,50,0.8348000000000001
6.0,0.4,51,0.8219999999999998
6.0,0.45,42,0.8144
6.0,0.45,43,0.8187999999999999
6.0,0.45,44,0.8078
6.0,0.45,45,0.8282
6.0,0.45,46,0.825
6.0,0.45,47,0.8148
6.0,0.45,48,0.8183999999999999
6.0,0.45,49,0.8094000000000001
6.0,0.45,50,0.8165999999999999
6.0,0.45,51,0.8146000000000001
6.0,0.5,42,0.8256
6.0,0.5,43,0.827
6.0,0.5,44,0.8207999999999999
6.0,0.5,45,0.8215999999999999
6.0,0.5,46,0.8229999999999998
6.0,0.5,47,0.8225999999999999
6.0,0.5,48,0.8248
6.0,0.5,49,0.8240000000000001
6.0,0.5,50,0.8238
6.0,0.5,51,0.8379999999999999
6.0,0.55,42,0.827
6.0,0.55,43,0.8245999999999999
6.0,0.55,44,0.8141999999999999
6.0,0.55,45,0.8168000000000001
6.0,0.55,46,0.8168
6.0,0.55,47,0.8204
6.0,0.55,48,0.8150000000000001
6.0,0.55,49,0.8183999999999999
6.0,0.55,50,0.8244
6.0,0.55,51,0.837
6.0,0.6,42,0.8058
6.0,0.6,43,0.8193999999999999
6.0,0.6,44,0.807
6.0,0.6,45,0.8186
6.0,0.6,46,0.8240000000000001
6.0,0.6,47,0.818
6.0,0.6,48,0.8278000000000001
6.0,0.6,49,0.8224
6.0,0.6,50,0.8221999999999999
6.0,0.6,51,0.8248
6.0,0.65,42,0.8332
6.0,0.65,43,0.8262
6.0,0.65,44,0.8253999999999999
6.0,0.65,45,0.827
6.0,0.65,46,0.8173999999999999
6.0,0.65,47,0.8156000000000001
6.0,0.65,48,0.8173999999999999
6.0,0.65,49,0.8187999999999999
6.0,0.65,50,0.8280000000000001
6.0,0.65,51,0.8268000000000001
6.0,0.7,42,0.8290000000000001
6.0,0.7,43,0.8174000000000001
6.0,0.7,44,0.8211999999999999
6.0,0.7,45,0.8126000000000001
6.0,0.7,46,0.8144
6.0,0.7,47,0.8263999999999999
6.0,0.7,48,0.8231999999999999
6.0,0.7,49,0.8225999999999999
6.0,0.7,50,0.8191999999999998
6.0,0.7,51,0.8299999999999998
6.0,0.75,42,0.8417999999999999
6.0,0.75,43,0.8266
6.0,0.75,44,0.837
6.0,0.75,45,0.8142000000000001
6.0,0.75,46,0.8385999999999999
6.0,0.75,47,0.826
6.0,0.75,48,0.8150000000000001
6.0,0.75,49,0.8230000000000001
6.0,0.75,50,0.8308
6.0,0.75,51,0.8150000000000001
6.0,0.8,42,0.8228
6.0,0.8,43,0.8248
6.0,0.8,44,0.8303999999999998
6.0,0.8,45,0.817
6.0,0.8,46,0.8141999999999999
6.0,0.8,47,0.8213999999999999
6.0,0.8,48,0.8321999999999999
6.0,0.8,49,0.8178000000000001
6.0,0.8,50,0.8219999999999998
6.0,0.8,51,0.8215999999999999
6.0,0.85,42,0.8231999999999999
6.0,0.85,43,0.8196
6.0,0.85,44,0.8202
6.0,0.85,45,0.8245999999999999
6.0,0.85,46,0.8166
6.0,0.85,47,0.8138
6.0,0.85,48,0.8234
6.0,0.85,49,0.8182
6.0,0.85,50,0.8214
6.0,0.85,51,0.8184000000000001
6.0,0.9,42,0.8074
6.0,0.9,43,0.8320000000000001
6.0,0.9,44,0.8094000000000001
6.0,0.9,45,0.8248
6.0,0.9,46,0.8204
6.0,0.9,47,0.8107999999999999
6.0,0.9,48,0.8151999999999999
6.0,0.9,49,0.8116000000000001
6.0,0.9,50,0.8228
6.0,0.9,51,0.8186
6.0,0.95,42,0.8225999999999999
6.0,0.95,43,0.8096
6.0,0.95,44,0.8161999999999999
6.0,0.95,45,0.8086
6.0,0.95,46,0.8122
6.0,0.95,47,0.8203999999999999
6.0,0.95,48,0.8160000000000001
6.0,0.95,49,0.8194000000000001
6.0,0.95,50,0.8181999999999998
6.0,0.95,51,0.8162
6.0,1.0,42,0.8166
6.0,1.0,43,0.7968000000000001
6.0,1.0,44,0.8373999999999999
6.0,1.0,45,0.8248
6.0,1.0,46,0.8136000000000001
6.0,1.0,47,0.8284
6.0,1.0,48,0.8134
6.0,1.0,49,0.8233999999999998
6.0,1.0,50,0.8244
6.0,1.0,51,0.827
