k,mu,accuracy
6.0,0.0,0.87
6.0,0.05,0.872
6.0,0.1,0.877
6.0,0.15,0.889
6.0,0.2,0.862
6.0,0.25,0.893
6.0,0.3,0.89
6.0,0.35,0.877
6.0,0.4,0.886
6.0,0.45,0.886
6.0,0.5,0.875
6.0,0.55,0.859
6.0,0.6,0.868
6.0,0.65,0.881
6.0,0.7,0.873
6.0,0.75,0.887
6.0,0.8,0.877
6.0,0.85,0.866
6.0,0.9,0.871
6.0,0.95,0.881
6.0,1.0,0.88
