k,mu,bridge_gain,seed,accuracy,isolated_baseline
6.0,0.0,0.0,42,0.9033333333333333,0.9033333333333333
6.0,0.0,0.1,42,0.9033333333333333,0.9033333333333333
6.0,0.0,0.2,42,0.9033333333333333,0.9033333333333333
6.0,0.0,0.3,42,0.9033333333333333,0.9033333333333333
6.0,0.0,0.5,42,0.9033333333333333,0.9033333333333333
6.0,0.0,0.75,42,0.9033333333333333,0.9033333333333333
6.0,0.0,1.0,42,0.9033333333333333,0.9033333333333333
6.0,0.0,1.5,42,0.9033333333333333,0.9033333333333333
6.0,0.0,2.0,42,0.9033333333333333,0.9033333333333333
6.0,0.0,3.0,42,0.9033333333333333,0.9033333333333333
6.0,0.0,0.0,43,0.9533333333333333,0.9533333333333333
6.0,0.0,0.1,43,0.9533333333333333,0.9533333333333333
6.0,0.0,0.2,43,0.9533333333333333,0.9533333333333333
6.0,0.0,0.3,43,0.9533333333333333,0.9533333333333333
6.0,0.0,0.5,43,0.9533333333333333,0.9533333333333333
6.0,0.0,0.75,43,0.9533333333333333,0.9533333333333333
6.0,0.0,1.0,43,0.9533333333333333,0.9533333333333333
6.0,0.0,1.5,43,0.9533333333333333,0.9533333333333333
6.0,0.0,2.0,43,0.9533333333333333,0.9533333333333333
6.0,0.0,3.0,43,0.9533333333333333,0.9533333333333333
6.0,0.0,0.0,44,0.9033333333333333,0.9033333333333333
6.0,0.0,0.1,44,0.9033333333333333,0.9033333333333333
6.0,0.0,0.2,44,0.9033333333333333,0.9033333333333333
6.0,0.0,0.3,44,0.9033333333333333,0.9033333333333333
6.0,0.0,0.5,44,0.9033333333333333,0.9033333333333333
6.0,0.0,0.75,44,0.9033333333333333,0.9033333333333333
6.0,0.0,1.0,44,0.9033333333333333,0.9033333333333333
6.0,0.0,1.5,44,0.9033333333333333,0.9033333333333333
6.0,0.0,2.0,44,0.9033333333333333,0.9033333333333333
6.0,0.0,3.0,44,0.9033333333333333,0.9033333333333333
6.0,0.0,0.0,45,0.89,0.89
6.0,0.0,0.1,45,0.89,0.89
6.0,0.0,0.2,45,0.89,0.89
6.0,0.0,0.3,45,0.89,0.89
6.0,0.0,0.5,45,0.89,0.89
6.0,0.0,0.75,45,0.89,0.89
6.0,0.0,1.0,45,0.89,0.89
6.0,0.0,1.5,45,0.89,0.89
6.0,0.0,2.0,45,0.89,0.89
6.0,0.0,3.0,45,0.89,0.89
6.0,0.0,0.0,46,0.9166666666666666,0.9166666666666666
6.0,0.0,0.1,46,0.9166666666666666,0.9166666666666666
6.0,0.0,0.2,46,0.9166666666666666,0.9166666666666666
6.0,0.0,0.3,46,0.9166666666666666,0.9166666666666666
6.0,0.0,0.5,46,0.9166666666666666,0.9166666666666666
6.0,0.0,0.75,46,0.9166666666666666,0.9166666666666666
6.0,0.0,1.0,46,0.9166666666666666,0.9166666666666666
6.0,0.0,1.5,46,0.9166666666666666,0.9166666666666666
6.0,0.0,2.0,46,0.9166666666666666,0.9166666666666666
6.0,0.0,3.0,46,0.9166666666666666,0.9166666666666666
6.0,0.0,0.0,47,0.9266666666666667,0.9266666666666667
6.0,0.0,0.1,47,0.9266666666666667,0.9266666666666667
6.0,0.0,0.2,47,0.9266666666666667,0.9266666666666667
6.0,0.0,0.3,47,0.9266666666666667,0.9266666666666667
6.0,0.0,0.5,47,0.9266666666666667,0.9266666666666667
6.0,0.0,0.75,47,0.9266666666666667,0.9266666666666667
6.0,0.0,1.0,47,0.9266666666666667,0.9266666666666667
6.0,0.0,1.5,47,0.9266666666666667,0.9266666666666667
6.0,0.0,2.0,47,0.9266666666666667,0.9266666666666667
6.0,0.0,3.0,47,0.9266666666666667,0.9266666666666667
6.0,0.0,0.0,48,0.9199999999999999,0.9199999999999999
6.0,0.0,0.1,48,0.9199999999999999,0.9199999999999999
6.0,0.0,0.2,48,0.9199999999999999,0.9199999999999999
6.0,0.0,0.3,48,0.9199999999999999,0.9199999999999999
6.0,0.0,0.5,48,0.9199999999999999,0.9199999999999999
6.0,0.0,0.75,48,0.9199999999999999,0.9199999999999999
6.0,0.0,1.0,48,0.9199999999999999,0.9199999999999999
6.0,0.0,1.5,48,0.9199999999999999,0.9199999999999999
6.0,0.0,2.0,48,0.9199999999999999,0.9199999999999999
6.0,0.0,3.0,48,0.9199999999999999,0.9199999999999999
6.0,0.0,0.0,49,0.9,0.9
6.0,0.0,0.1,49,0.9,0.9
6.0,0.0,0.2,49,0.9,0.9
6.0,0.0,0.3,49,0.9,0.9
6.0,0.0,0.5,49,0.9,0.9
6.0,0.0,0.75,49,0.9,0.9
6.0,0.0,1.0,49,0.9,0.9
6.0,0.0,1.5,49,0.9,0.9
6.0,0.0,2.0,49,0.9,0.9
6.0,0.0,3.0,49,0.9,0.9
6.0,0.05,0.0,42,0.9166666666666666,0.9166666666666666
6.0,0.05,0.1,42,0.9166666666666666,0.9166666666666666
6.0,0.05,0.2,42,0.9166666666666666,0.9166666666666666
6.0,0.05,0.3,42,0.9166666666666666,0.9166666666666666
6.0,0.05,0.5,42,0.9166666666666666,0.9166666666666666
6.0,0.05,0.75,42,0.9166666666666666,0.9166666666666666
6.0,0.05,1.0,42,0.9166666666666666,0.9166666666666666
6.0,0.05,1.5,42,0.9133333333333334,0.9166666666666666
6.0,0.05,2.0,42,0.9166666666666666,0.9166666666666666
6.0,0.05,3.0,42,0.9166666666666666,0.9166666666666666
6.0,0.05,0.0,43,0.9,0.9
6.0,0.05,0.1,43,0.91,0.9
6.0,0.05,0.2,43,0.91,0.9
6.0,0.05,0.3,43,0.91,0.9
6.0,0.05,0.5,43,0.9166666666666666,0.9
6.0,0.05,0.75,43,0.91,0.9
6.0,0.05,1.0,43,0.8966666666666666,0.9
6.0,0.05,1.5,43,0.9066666666666666,0.9
6.0,0.05,2.0,43,0.9066666666666666,0.9
6.0,0.05,3.0,43,0.9066666666666666,0.9
6.0,0.05,0.0,44,0.9066666666666666,0.9066666666666666
6.0,0.05,0.1,44,0.9066666666666666,0.9066666666666666
6.0,0.05,0.2,44,0.9066666666666666,0.9066666666666666
6.0,0.05,0.3,44,0.9066666666666666,0.9066666666666666
6.0,0.05,0.5,44,0.9066666666666666,0.9066666666666666
6.0,0.05,0.75,44,0.9066666666666666,0.9066666666666666
6.0,0.05,1.0,44,0.9133333333333334,0.9066666666666666
6.0,0.05,1.5,44,0.9066666666666666,0.9066666666666666
6.0,0.05,2.0,44,0.8966666666666666,0.9066666666666666
6.0,0.05,3.0,44,0.9033333333333333,0.9066666666666666
6.0,0.05,0.0,45,0.87,0.87
6.0,0.05,0.1,45,0.8733333333333334,0.87
6.0,0.05,0.2,45,0.8733333333333334,0.87
6.0,0.05,0.3,45,0.8733333333333334,0.87
6.0,0.05,0.5,45,0.8766666666666666,0.87
6.0,0.05,0.75,45,0.8766666666666666,0.87
6.0,0.05,1.0,45,0.8566666666666668,0.87
6.0,0.05,1.5,45,0.8666666666666667,0.87
6.0,0.05,2.0,45,0.8666666666666667,0.87
6.0,0.05,3.0,45,0.8633333333333334,0.87
6.0,0.05,0.0,46,0.8533333333333334,0.8533333333333334
6.0,0.05,0.1,46,0.8533333333333334,0.8533333333333334
6.0,0.05,0.2,46,0.8533333333333334,0.8533333333333334
6.0,0.05,0.3,46,0.8533333333333334,0.8533333333333334
6.0,0.05,0.5,46,0.85,0.8533333333333334
6.0,0.05,0.75,46,0.85,0.8533333333333334
6.0,0.05,1.0,46,0.8533333333333334,0.8533333333333334
6.0,0.05,1.5,46,0.86,0.8533333333333334
6.0,0.05,2.0,46,0.8466666666666667,0.8533333333333334
6.0,0.05,3.0,46,0.8466666666666667,0.8533333333333334
6.0,0.05,0.0,47,0.9233333333333333,0.9233333333333333
6.0,0.05,0.1,47,0.92,0.9233333333333333
6.0,0.05,0.2,47,0.9166666666666666,0.9233333333333333
6.0,0.05,0.3,47,0.9166666666666666,0.9233333333333333
6.0,0.05,0.5,47,0.92,0.9233333333333333
6.0,0.05,0.75,47,0.92,0.9233333333333333
6.0,0.05,1.0,47,0.92,0.9233333333333333
6.0,0.05,1.5,47,0.91,0.9233333333333333
6.0,0.05,2.0,47,0.91,0.9233333333333333
6.0,0.05,3.0,47,0.8833333333333333,0.9233333333333333
6.0,0.05,0.0,48,0.8799999999999999,0.8799999999999999
6.0,0.05,0.1,48,0.8766666666666666,0.8799999999999999
6.0,0.05,0.2,48,0.8766666666666666,0.8799999999999999
6.0,0.05,0.3,48,0.8766666666666666,0.8799999999999999
6.0,0.05,0.5,48,0.8766666666666666,0.8799999999999999
6.0,0.05,0.75,48,0.8766666666666666,0.8799999999999999
6.0,0.05,1.0,48,0.8766666666666666,0.8799999999999999
6.0,0.05,1.5,48,0.8566666666666666,0.8799999999999999
6.0,0.05,2.0,48,0.8566666666666666,0.8799999999999999
6.0,0.05,3.0,48,0.86,0.8799999999999999
6.0,0.05,0.0,49,0.8633333333333333,0.8633333333333333
6.0,0.05,0.1,49,0.8666666666666667,0.8633333333333333
6.0,0.05,0.2,49,0.8666666666666667,0.8633333333333333
6.0,0.05,0.3,49,0.8666666666666667,0.8633333333333333
6.0,0.05,0.5,49,0.86,0.8633333333333333
6.0,0.05,0.75,49,0.86,0.8633333333333333
6.0,0.05,1.0,49,0.8666666666666667,0.8633333333333333
