k,mu,accuracy
6.0,0.0,0.856
6.0,0.05,0.836
6.0,0.1,0.826
6.0,0.15,0.862
6.0,0.2,0.856
6.0,0.25,0.832
6.0,0.3,0.814
6.0,0.35,0.841
6.0,0.4,0.855
6.0,0.45,0.845
6.0,0.5,0.825
6.0,0.55,0.836
6.0,0.6,0.826
6.0,0.65,0.832
6.0,0.7,0.838
6.0,0.75,0.822
6.0,0.8,0.845
6.0,0.85,0.813
6.0,0.9,0.85
6.0,0.95,0.847
6.0,1.0,0.826
